,count
GAC_exp_occ_cadical_11000001,42
GAC_exp_occ_glucose_11000001,89
GAC_exp_occ_lia_yices2_11000001,24
GAC_exp_occ_nbc_11000001,132
GAC_occ_occ_cadical_11000001,87
GAC_occ_occ_glucose_11000001,119
GAC_occ_occ_lia_yices2_11000001,55
GAC_occ_occ_lia_z3_11000001,3
GAC_occ_occ_nbc_11000001,182
GAC_occ_occ_nia_z3_11000001,4
GAC_occ_occ_yices2_11000001,4
GAC_occ_occ_z3_11000001,3
None_exp_occ_cadical_11000001,43
None_exp_occ_glucose_11000001,91
None_exp_occ_lia_yices2_11000001,25
None_exp_occ_lia_z3_11000001,1
None_exp_occ_nbc_11000001,120
None_exp_occ_yices2_11000001,1
None_occ_occ_boolector_11000001,2
None_occ_occ_cadical_11000001,91
None_occ_occ_glucose_11000001,116
None_occ_occ_lia_yices2_11000001,58
None_occ_occ_lia_z3_11000001,4
None_occ_occ_nbc_11000001,170
None_occ_occ_nia_z3_11000001,2
None_occ_occ_yices2_11000001,5
None_occ_occ_z3_11000001,2
SACBounds_limit_exp_exp_nbc_11100001,1
SACBounds_limit_exp_occ_boolector_11000001,3
SACBounds_limit_exp_occ_cadical_11000001,61
SACBounds_limit_exp_occ_glucose_01000001,81
SACBounds_limit_exp_occ_glucose_11000001,89
SACBounds_limit_exp_occ_glucose_11100001,60
SACBounds_limit_exp_occ_glucose_11100101,51
SACBounds_limit_exp_occ_lia_yices2_11000001,27
SACBounds_limit_exp_occ_lia_z3_11000001,4
SACBounds_limit_exp_occ_minion_11000001,3
SACBounds_limit_exp_occ_nbc_10000001,30
SACBounds_limit_exp_occ_nbc_11000001,143
SACBounds_limit_exp_occ_nbc_11010001,84
SACBounds_limit_exp_occ_nbc_11100001,55
SACBounds_limit_exp_occ_nia_z3_11000001,2
SACBounds_limit_exp_occ_yices2_11000001,7
SACBounds_limit_exp_occ_z3_10000001,1
SACBounds_limit_exp_occ_z3_11000001,3
SACBounds_limit_occ_occ_boolector_11000001,8
SACBounds_limit_occ_occ_cadical_11000001,100
SACBounds_limit_occ_occ_glucose_11000001,110
SACBounds_limit_occ_occ_glucose_11000101,3
SACBounds_limit_occ_occ_glucose_11100001,102
SACBounds_limit_occ_occ_glucose_11100101,21
SACBounds_limit_occ_occ_lia_yices2_11000001,68
SACBounds_limit_occ_occ_lia_z3_11000001,11
SACBounds_limit_occ_occ_nbc_10000001,1
SACBounds_limit_occ_occ_nbc_11000001,188
SACBounds_limit_occ_occ_nbc_11100001,78
SACBounds_limit_occ_occ_nbc_11100101,10
SACBounds_limit_occ_occ_nia_z3_11000001,7
SACBounds_limit_occ_occ_yices2_11000001,16
SACBounds_limit_occ_occ_z3_11000001,5
SSACBounds_limit_exp_occ_boolector_11000001,3
SSACBounds_limit_exp_occ_cadical_11000001,29
SSACBounds_limit_exp_occ_glucose_11000001,21
SSACBounds_limit_exp_occ_lia_yices2_11000001,6
SSACBounds_limit_exp_occ_lia_z3_11000001,4
SSACBounds_limit_exp_occ_nbc_11000001,54
SSACBounds_limit_exp_occ_nia_z3_11000001,3
SSACBounds_limit_exp_occ_yices2_11000001,3
SSACBounds_limit_exp_occ_z3_11000001,3
SSACBounds_limit_occ_occ_boolector_11000001,5
SSACBounds_limit_occ_occ_cadical_11000001,48
SSACBounds_limit_occ_occ_glucose_11000001,25
SSACBounds_limit_occ_occ_lia_yices2_11000001,16
SSACBounds_limit_occ_occ_lia_z3_11000001,11
SSACBounds_limit_occ_occ_nbc_11000001,76
SSACBounds_limit_occ_occ_nia_z3_11000001,5
SSACBounds_limit_occ_occ_yices2_11000001,6
SSACBounds_limit_occ_occ_z3_10000001,1
SSACBounds_limit_occ_occ_z3_11000001,4
