,count
GAC_exp_occ_cadical_11000001,20
GAC_exp_occ_glucose_11000001,75
GAC_exp_occ_lia_yices2_11000001,9
GAC_exp_occ_nbc_11000001,87
GAC_occ_occ_cadical_11000001,56
GAC_occ_occ_glucose_11000001,111
GAC_occ_occ_lia_yices2_11000001,43
GAC_occ_occ_lia_z3_11000001,3
GAC_occ_occ_nbc_11000001,151
GAC_occ_occ_nia_z3_11000001,4
GAC_occ_occ_yices2_11000001,3
GAC_occ_occ_z3_11000001,2
None_exp_occ_cadical_11000001,23
None_exp_occ_glucose_11000001,77
None_exp_occ_lia_yices2_11000001,13
None_exp_occ_lia_z3_11000001,1
None_exp_occ_nbc_11000001,79
None_occ_occ_boolector_11000001,2
None_occ_occ_cadical_11000001,56
None_occ_occ_glucose_11000001,107
None_occ_occ_lia_yices2_11000001,37
None_occ_occ_lia_z3_11000001,4
None_occ_occ_nbc_11000001,136
None_occ_occ_nia_z3_11000001,2
None_occ_occ_yices2_11000001,3
None_occ_occ_z3_11000001,1
SACBounds_limit_exp_exp_nbc_11100001,1
SACBounds_limit_exp_occ_boolector_11000001,3
SACBounds_limit_exp_occ_cadical_11000001,34
SACBounds_limit_exp_occ_glucose_01000001,63
SACBounds_limit_exp_occ_glucose_11000001,74
SACBounds_limit_exp_occ_glucose_11100001,41
SACBounds_limit_exp_occ_glucose_11100101,46
SACBounds_limit_exp_occ_lia_yices2_11000001,13
SACBounds_limit_exp_occ_lia_z3_11000001,3
SACBounds_limit_exp_occ_nbc_10000001,7
SACBounds_limit_exp_occ_nbc_11000001,98
SACBounds_limit_exp_occ_nbc_11010001,43
SACBounds_limit_exp_occ_nbc_11100001,43
SACBounds_limit_exp_occ_nia_z3_11000001,2
SACBounds_limit_exp_occ_yices2_11000001,3
SACBounds_limit_exp_occ_z3_10000001,1
SACBounds_limit_exp_occ_z3_11000001,3
SACBounds_limit_occ_occ_boolector_11000001,6
SACBounds_limit_occ_occ_cadical_11000001,73
SACBounds_limit_occ_occ_glucose_11000001,101
SACBounds_limit_occ_occ_glucose_11000101,3
SACBounds_limit_occ_occ_glucose_11100001,98
SACBounds_limit_occ_occ_glucose_11100101,16
SACBounds_limit_occ_occ_lia_yices2_11000001,51
SACBounds_limit_occ_occ_lia_z3_11000001,8
SACBounds_limit_occ_occ_nbc_11000001,151
SACBounds_limit_occ_occ_nbc_11100001,69
SACBounds_limit_occ_occ_nbc_11100101,8
SACBounds_limit_occ_occ_nia_z3_11000001,4
SACBounds_limit_occ_occ_yices2_11000001,10
SACBounds_limit_occ_occ_z3_11000001,4
SSACBounds_limit_exp_occ_boolector_11000001,3
SSACBounds_limit_exp_occ_cadical_11000001,15
SSACBounds_limit_exp_occ_glucose_11000001,15
SSACBounds_limit_exp_occ_lia_yices2_11000001,5
SSACBounds_limit_exp_occ_lia_z3_11000001,4
SSACBounds_limit_exp_occ_nbc_11000001,34
SSACBounds_limit_exp_occ_nia_z3_11000001,3
SSACBounds_limit_exp_occ_yices2_11000001,3
SSACBounds_limit_exp_occ_z3_11000001,3
SSACBounds_limit_occ_occ_boolector_11000001,5
SSACBounds_limit_occ_occ_cadical_11000001,36
SSACBounds_limit_occ_occ_glucose_11000001,20
SSACBounds_limit_occ_occ_lia_yices2_11000001,12
SSACBounds_limit_occ_occ_lia_z3_11000001,7
SSACBounds_limit_occ_occ_nbc_11000001,57
SSACBounds_limit_occ_occ_nia_z3_11000001,4
SSACBounds_limit_occ_occ_yices2_11000001,4
SSACBounds_limit_occ_occ_z3_10000001,1
SSACBounds_limit_occ_occ_z3_11000001,4
