,count
GAC_exp_occ_cadical_11000001,14
GAC_exp_occ_glucose_11000001,25
GAC_exp_occ_lia_yices2_11000001,5
GAC_exp_occ_nbc_11000001,44
GAC_occ_occ_cadical_11000001,22
GAC_occ_occ_glucose_11000001,58
GAC_occ_occ_lia_yices2_11000001,14
GAC_occ_occ_lia_z3_11000001,3
GAC_occ_occ_nbc_11000001,79
GAC_occ_occ_nia_z3_11000001,4
GAC_occ_occ_yices2_11000001,3
GAC_occ_occ_z3_11000001,2
None_exp_occ_cadical_11000001,14
None_exp_occ_glucose_11000001,25
None_exp_occ_lia_yices2_11000001,6
None_exp_occ_lia_z3_11000001,1
None_exp_occ_nbc_11000001,35
None_occ_occ_boolector_11000001,2
None_occ_occ_cadical_11000001,26
None_occ_occ_glucose_11000001,59
None_occ_occ_lia_yices2_11000001,14
None_occ_occ_lia_z3_11000001,4
None_occ_occ_nbc_11000001,67
None_occ_occ_nia_z3_11000001,2
None_occ_occ_yices2_11000001,3
None_occ_occ_z3_11000001,1
SACBounds_limit_exp_exp_nbc_11100001,1
SACBounds_limit_exp_occ_boolector_11000001,3
SACBounds_limit_exp_occ_cadical_11000001,16
SACBounds_limit_exp_occ_glucose_01000001,13
SACBounds_limit_exp_occ_glucose_11000001,34
SACBounds_limit_exp_occ_glucose_11100001,11
SACBounds_limit_exp_occ_glucose_11100101,37
SACBounds_limit_exp_occ_lia_yices2_11000001,5
SACBounds_limit_exp_occ_lia_z3_11000001,3
SACBounds_limit_exp_occ_nbc_11000001,51
SACBounds_limit_exp_occ_nbc_11010001,7
SACBounds_limit_exp_occ_nbc_11100001,28
SACBounds_limit_exp_occ_nia_z3_11000001,2
SACBounds_limit_exp_occ_yices2_11000001,3
SACBounds_limit_exp_occ_z3_10000001,1
SACBounds_limit_exp_occ_z3_11000001,3
SACBounds_limit_occ_occ_boolector_11000001,5
SACBounds_limit_occ_occ_cadical_11000001,38
SACBounds_limit_occ_occ_glucose_11000001,72
SACBounds_limit_occ_occ_glucose_11000101,2
SACBounds_limit_occ_occ_glucose_11100001,41
SACBounds_limit_occ_occ_glucose_11100101,14
SACBounds_limit_occ_occ_lia_yices2_11000001,23
SACBounds_limit_occ_occ_lia_z3_11000001,6
SACBounds_limit_occ_occ_nbc_11000001,99
SACBounds_limit_occ_occ_nbc_11100001,60
SACBounds_limit_occ_occ_nbc_11100101,5
SACBounds_limit_occ_occ_nia_z3_11000001,4
SACBounds_limit_occ_occ_yices2_11000001,5
SACBounds_limit_occ_occ_z3_11000001,3
SSACBounds_limit_exp_occ_boolector_11000001,3
SSACBounds_limit_exp_occ_cadical_11000001,4
SSACBounds_limit_exp_occ_glucose_11000001,7
SSACBounds_limit_exp_occ_lia_yices2_11000001,4
SSACBounds_limit_exp_occ_lia_z3_11000001,4
SSACBounds_limit_exp_occ_nbc_11000001,14
SSACBounds_limit_exp_occ_nia_z3_11000001,3
SSACBounds_limit_exp_occ_yices2_11000001,3
SSACBounds_limit_exp_occ_z3_11000001,3
SSACBounds_limit_occ_occ_boolector_11000001,4
SSACBounds_limit_occ_occ_cadical_11000001,18
SSACBounds_limit_occ_occ_glucose_11000001,7
SSACBounds_limit_occ_occ_lia_yices2_11000001,9
SSACBounds_limit_occ_occ_lia_z3_11000001,4
SSACBounds_limit_occ_occ_nbc_11000001,33
SSACBounds_limit_occ_occ_nia_z3_11000001,3
SSACBounds_limit_occ_occ_yices2_11000001,3
SSACBounds_limit_occ_occ_z3_10000001,1
SSACBounds_limit_occ_occ_z3_11000001,3
