,count
GAC_exp_occ_cadical_11000001,18
GAC_exp_occ_glucose_11000001,57
GAC_exp_occ_lia_yices2_11000001,6
GAC_exp_occ_nbc_11000001,72
GAC_occ_occ_cadical_11000001,44
GAC_occ_occ_glucose_11000001,97
GAC_occ_occ_lia_yices2_11000001,28
GAC_occ_occ_lia_z3_11000001,3
GAC_occ_occ_nbc_11000001,125
GAC_occ_occ_nia_z3_11000001,4
GAC_occ_occ_yices2_11000001,3
GAC_occ_occ_z3_11000001,2
None_exp_occ_cadical_11000001,18
None_exp_occ_glucose_11000001,62
None_exp_occ_lia_yices2_11000001,6
None_exp_occ_lia_z3_11000001,1
None_exp_occ_nbc_11000001,65
None_occ_occ_boolector_11000001,2
None_occ_occ_cadical_11000001,44
None_occ_occ_glucose_11000001,95
None_occ_occ_lia_yices2_11000001,23
None_occ_occ_lia_z3_11000001,4
None_occ_occ_nbc_11000001,115
None_occ_occ_nia_z3_11000001,2
None_occ_occ_yices2_11000001,3
None_occ_occ_z3_11000001,1
SACBounds_limit_exp_exp_nbc_11100001,1
SACBounds_limit_exp_occ_boolector_11000001,3
SACBounds_limit_exp_occ_cadical_11000001,24
SACBounds_limit_exp_occ_glucose_01000001,54
SACBounds_limit_exp_occ_glucose_11000001,67
SACBounds_limit_exp_occ_glucose_11100001,23
SACBounds_limit_exp_occ_glucose_11100101,42
SACBounds_limit_exp_occ_lia_yices2_11000001,9
SACBounds_limit_exp_occ_lia_z3_11000001,3
SACBounds_limit_exp_occ_nbc_10000001,2
SACBounds_limit_exp_occ_nbc_11000001,79
SACBounds_limit_exp_occ_nbc_11010001,23
SACBounds_limit_exp_occ_nbc_11100001,40
SACBounds_limit_exp_occ_nia_z3_11000001,2
SACBounds_limit_exp_occ_yices2_11000001,3
SACBounds_limit_exp_occ_z3_10000001,1
SACBounds_limit_exp_occ_z3_11000001,3
SACBounds_limit_occ_occ_boolector_11000001,5
SACBounds_limit_occ_occ_cadical_11000001,60
SACBounds_limit_occ_occ_glucose_11000001,95
SACBounds_limit_occ_occ_glucose_11000101,3
SACBounds_limit_occ_occ_glucose_11100001,82
SACBounds_limit_occ_occ_glucose_11100101,14
SACBounds_limit_occ_occ_lia_yices2_11000001,38
SACBounds_limit_occ_occ_lia_z3_11000001,7
SACBounds_limit_occ_occ_nbc_11000001,139
SACBounds_limit_occ_occ_nbc_11100001,68
SACBounds_limit_occ_occ_nbc_11100101,7
SACBounds_limit_occ_occ_nia_z3_11000001,4
SACBounds_limit_occ_occ_yices2_11000001,6
SACBounds_limit_occ_occ_z3_11000001,4
SSACBounds_limit_exp_occ_boolector_11000001,3
SSACBounds_limit_exp_occ_cadical_11000001,10
SSACBounds_limit_exp_occ_glucose_11000001,12
SSACBounds_limit_exp_occ_lia_yices2_11000001,4
SSACBounds_limit_exp_occ_lia_z3_11000001,4
SSACBounds_limit_exp_occ_nbc_11000001,26
SSACBounds_limit_exp_occ_nia_z3_11000001,3
SSACBounds_limit_exp_occ_yices2_11000001,3
SSACBounds_limit_exp_occ_z3_11000001,3
SSACBounds_limit_occ_occ_boolector_11000001,5
SSACBounds_limit_occ_occ_cadical_11000001,29
SSACBounds_limit_occ_occ_glucose_11000001,14
SSACBounds_limit_occ_occ_lia_yices2_11000001,11
SSACBounds_limit_occ_occ_lia_z3_11000001,6
SSACBounds_limit_occ_occ_nbc_11000001,47
SSACBounds_limit_occ_occ_nia_z3_11000001,4
SSACBounds_limit_occ_occ_yices2_11000001,4
SSACBounds_limit_occ_occ_z3_10000001,1
SSACBounds_limit_occ_occ_z3_11000001,4
